dataset,10.0,20.0,50.0,100.0,200.0
7z,21.0,31.0,72.0,70.0,88.0
A2C_Acrobot,0.0,0.0,2.0,4.0,66.0
A2C_CartPole,5.0,7.0,18.0,19.0,85.0
Apache_AllMeasurements,0.0,5.0,22.0,34.0,57.0
BDBC,4.0,56.0,56.0,59.0,100.0
BankChurners,11.0,12.0,28.0,57.0,91.0
Car_price_cleaned,0.0,0.0,1.0,10.0,61.0
Data_COVID19_Indonesia,1.0,26.0,61.0,89.0,100.0
FFM-1000-200-0,0.0,0.0,12.0,43.0,92.0
FFM-125-25-0,2.0,3.0,22.0,73.0,91.0
FFM-250-50-0,0.0,1.0,13.0,45.0,91.0
FFM-500-100-0,0.0,4.0,14.0,42.0,94.0
FM-500-100-0,1.0,1.0,18.0,18.0,95.0
FM-500-100-1,0.0,1.0,10.0,36.0,99.0
HSMGP_num,2.0,8.0,62.0,93.0,96.0
HSQLDB,0.0,11.0,65.0,100.0,98.0
Health-ClosedIssues0000,7.0,73.0,79.0,79.0,85.0
Health-ClosedIssues0001,0.0,60.0,35.0,29.0,73.0
Health-ClosedIssues0002,58.0,73.0,65.0,98.0,98.0
Health-ClosedIssues0003,0.0,0.0,11.0,37.0,98.0
Health-ClosedIssues0004,9.0,6.0,22.0,57.0,82.0
Health-ClosedIssues0005,1.0,44.0,70.0,82.0,90.0
Health-ClosedIssues0006,0.0,14.0,20.0,47.0,96.0
Health-ClosedIssues0007,6.0,7.0,5.0,73.0,90.0
Health-ClosedIssues0008,0.0,0.0,33.0,53.0,84.0
Health-ClosedIssues0009,5.0,1.0,64.0,65.0,98.0
Health-ClosedIssues0010,0.0,49.0,86.0,0.0,0.0
Health-ClosedIssues0011,17.0,83.0,84.0,91.0,96.0
Health-ClosedPRs0000,0.0,100.0,100.0,100.0,100.0
Health-ClosedPRs0002,58.0,54.0,94.0,91.0,91.0
Health-ClosedPRs0003,29.0,100.0,100.0,71.0,71.0
Health-ClosedPRs0004,18.0,54.0,83.0,77.0,75.0
Health-ClosedPRs0005,14.0,86.0,74.0,76.0,76.0
Health-ClosedPRs0006,6.0,5.0,16.0,22.0,91.0
Health-ClosedPRs0007,29.0,51.0,64.0,65.0,79.0
Health-ClosedPRs0008,80.0,66.0,2.0,14.0,26.0
Health-ClosedPRs0009,1.0,6.0,55.0,54.0,95.0
Health-ClosedPRs0010,0.0,1.0,32.0,80.0,93.0
Health-ClosedPRs0011,18.0,100.0,92.0,88.0,34.0
Health-Commits0000,3.0,31.0,53.0,77.0,99.0
