dataset,10.0,20.0,50.0,100.0,200.0
7z,7.75,6.26,5.19,3.44,0.71
A2C_Acrobot,46.5,50.5,37.37,42.87,39.44
A2C_CartPole,56.21,56.79,57.8,55.92,55.87
Apache_AllMeasurements,16.55,9.72,5.94,2.8,2.8
BDBC,1.48,1.24,1.14,0.81,0.59
BankChurners,62.66,50.0,33.44,30.71,28.0
Car_price_cleaned,52.07,51.66,33.47,28.77,28.5
Data_COVID19_Indonesia,60.91,47.17,24.31,13.91,8.23
FFM-1000-200-0,50.88,35.55,30.03,20.4,20.87
FFM-125-25-0,56.66,47.66,28.49,22.1,17.14
FFM-250-50-0,50.58,44.25,29.03,21.18,14.1
FFM-500-100-0,55.32,44.56,32.79,25.03,21.6
FM-500-100-0,55.51,55.91,39.47,32.2,20.34
FM-500-100-1,50.02,41.68,27.59,22.12,13.49
HSMGP_num,14.43,11.75,4.51,2.05,0.87
HSQLDB,9.09,1.61,0.95,0.67,0.39
Health-ClosedIssues0000,28.71,24.61,17.78,13.9,13.12
Health-ClosedIssues0001,62.73,58.73,56.49,55.44,52.44
Health-ClosedIssues0002,21.44,21.44,21.14,20.6,20.28
Health-ClosedIssues0003,61.63,61.66,39.74,31.33,17.49
Health-ClosedIssues0004,70.73,71.26,66.4,55.96,59.47
Health-ClosedIssues0005,35.83,35.08,35.63,35.17,34.76
Health-ClosedIssues0006,52.57,39.97,25.5,31.56,37.08
Health-ClosedIssues0007,89.06,86.29,83.41,90.97,86.05
Health-ClosedIssues0008,49.04,40.02,29.63,20.85,19.83
Health-ClosedIssues0009,83.95,78.95,64.26,47.96,41.0
Health-ClosedIssues0010,72.69,71.97,68.48,68.62,67.54
Health-ClosedIssues0011,0.0,23.7,23.7,0.0,0.0
Health-ClosedPRs0000,0.0,0.0,0.0,0.0,0.0
Health-ClosedPRs0002,0.0,0.0,0.0,0.0,1.9
Health-ClosedPRs0003,1.26,1.26,1.26,1.26,1.26
Health-ClosedPRs0004,49.27,41.4,32.28,18.56,0.0
Health-ClosedPRs0005,0.0,0.0,0.0,0.0,0.0
Health-ClosedPRs0006,84.03,95.61,80.81,37.75,22.36
Health-ClosedPRs0007,54.0,24.15,34.15,24.15,24.15
Health-ClosedPRs0008,86.23,89.52,68.19,51.73,22.22
Health-ClosedPRs0009,72.11,71.13,72.35,54.67,35.38
Health-ClosedPRs0010,76.27,78.88,70.09,54.84,39.04
Health-ClosedPRs0011,0.0,0.0,0.0,0.0,0.0
Health-Commits0000,33.18,30.64,25.97,22.85,16.05
Health-Commits0001,3.3,3.3,3.3,3.3,3.3
Health-Commits0002,51.99,51.99,51.09,55.13,50.34
Health-Commits0003,71.21,66.17,52.6,54.71,45.18
Health-Commits0004,58.98,58.49,58.17,57.86,58.14
Health-Commits0005,60.27,58.04,46.71,43.1,43.14
Health-Commits0006,50.78,45.07,45.42,47.06,39.57
Health-Commits0007,60.64,61.51,61.59,39.84,48.25
Health-Commits0008,71.93,67.83,59.06,53.78,57.42
Health-Commits0009,36.73,35.15,31.19,32.9,24.14
Health-Commits0010,49.0,38.48,37.19,34.72,31.71
